City Name,Year,Total No. of Live Births (in Thousands),No. of Live Births - Male (in Thousands),No. of Live Births - Female (in Thousands),No. of Deaths - Total (in Thousands),No. of Deaths - Male (in Thousands),No. of Deaths - Female (in Thousands),No. of Deaths - Infants (0-1 year) (in Thousands),No. of Deaths - Children (1-5 years) (in Thousands),No. of Deaths - age above 5 years (in Thousands)
Pimpri Chinchwad,2012,28139,14735,13404,,,,,,
Pimpri Chinchwad,2013,30063,15668,14395,,,,,,
Pimpri Chinchwad,2014,29421,15453,13968,,,,,,
Pimpri Chinchwad,2015,27292,14269,13023,8929.0,5628.0,3301.0,548.0,,
Pimpri Chinchwad,2016,27957,14483,13474,9291.0,5400.0,3891.0,344.0,,
Pimpri Chinchwad,2017,28338,14782,13556,10056.0,6171.0,3885.0,463.0,,
Pimpri Chinchwad,2018,27168,14413,12755,11226.0,6965.0,4261.0,598.0,,
Pimpri Chinchwad,2019,27994,14680,13314,11150.0,6960.0,4190.0,548.0,,
Pimpri Chinchwad,2020,26302,13631,12671,12702.0,8059.0,4643.0,305.0,,
Pimpri Chinchwad,2021,18542,9656,8886,16981.0,10530.0,6451.0,302.0,84.0,
